Generated by pymatgen.io.lammps.data.LammpsData

265  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     2  1  0.000000  0.000000  0.000000
2     2  2  0.000000  0.000000  2.855312
3     1  1  0.000000  0.000000  5.710624
4     1  1  0.000000  0.000000  8.565936
8     1  1  0.000000  0.000000 19.987184
9     1  1  0.000000  0.000000 22.842496
10    2  1  0.000000  0.000000 25.697808
11    2  1  0.000000  2.855312  0.000000
12    2  1  0.000000  2.855312  2.855312
13    1  1  0.000000  2.855312  5.710624
14    1  1  0.000000  2.855312  8.565936
18    1  1  0.000000  2.855312 19.987184
19    1  1  0.000000  2.855312 22.842496
20    2  1  0.000000  2.855312 25.697808
21    1  1  0.000000  5.710624  0.000000
22    1  1  0.000000  5.710624  2.855312
23    1  1  0.000000  5.710624  5.710624
30    1  1  0.000000  5.710624 25.697808
80    1  1  0.000000 19.987184 25.697808
81    2  1  0.000000 22.842496  0.000000
82    2  1  0.000000 22.842496  2.855312
83    1  1  0.000000 22.842496  5.710624
88    1  1  0.000000 22.842496 19.987184
89    1  1  0.000000 22.842496 22.842496
90    1  1  0.000000 22.842496 25.697808
91    2  1  0.000000 25.697808  0.000000
92    2  1  0.000000 25.697808  2.855312
93    1  1  0.000000 25.697808  5.710624
94    1  1  0.000000 25.697808  8.565936
98    1  1  0.000000 25.697808 19.987184
99    1  1  0.000000 25.697808 22.842496
100   2  1  0.000000 25.697808 25.697808
101   2  1  2.855312  0.000000  0.000000
102   2  1  2.855312  0.000000  2.855312
103   1  1  2.855312  0.000000  5.710624
104   1  1  2.855312  0.000000  8.565936
108   1  1  2.855312  0.000000 19.987184
109   1  1  2.855312  0.000000 22.842496
110   2  1  2.855312  0.000000 25.697808
111   2  1  2.855312  2.855312  0.000000
112   1  1  2.855312  2.855312  2.855312
113   1  1  2.855312  2.855312  5.710624
114   1  1  2.855312  2.855312  8.565936
119   1  1  2.855312  2.855312 22.842496
120   2  1  2.855312  2.855312 25.697808
121   1  1  2.855312  5.710624  0.000000
122   1  1  2.855312  5.710624  2.855312
123   1  1  2.855312  5.710624  5.710624
181   2  1  2.855312 22.842496  0.000000
182   1  1  2.855312 22.842496  2.855312
183   1  1  2.855312 22.842496  5.710624
189   1  1  2.855312 22.842496 22.842496
190   1  1  2.855312 22.842496 25.697808
191   2  1  2.855312 25.697808  0.000000
192   2  1  2.855312 25.697808  2.855312
193   1  1  2.855312 25.697808  5.710624
194   1  1  2.855312 25.697808  8.565936
198   1  1  2.855312 25.697808 19.987184
199   1  1  2.855312 25.697808 22.842496
200   2  1  2.855312 25.697808 25.697808
201   1  1  5.710624  0.000000  0.000000
202   1  1  5.710624  0.000000  2.855312
203   1  1  5.710624  0.000000  5.710624
210   1  1  5.710624  0.000000 25.697808
211   1  1  5.710624  2.855312  0.000000
212   1  1  5.710624  2.855312  2.855312
213   1  1  5.710624  2.855312  5.710624
291   1  1  5.710624 25.697808  0.000000
292   1  1  5.710624 25.697808  2.855312
293   1  1  5.710624 25.697808  5.710624
300   1  1  5.710624 25.697808 25.697808
710   1  1 19.987184  0.000000 25.697808
800   1  1 19.987184 25.697808 25.697808
801   2  1 22.842496  0.000000  0.000000
802   2  1 22.842496  0.000000  2.855312
803   1  1 22.842496  0.000000  5.710624
808   1  1 22.842496  0.000000 19.987184
809   1  1 22.842496  0.000000 22.842496
810   1  1 22.842496  0.000000 25.697808
811   2  1 22.842496  2.855312  0.000000
812   1  1 22.842496  2.855312  2.855312
813   1  1 22.842496  2.855312  5.710624
819   1  1 22.842496  2.855312 22.842496
820   1  1 22.842496  2.855312 25.697808
881   1  1 22.842496 22.842496  0.000000
889   1  1 22.842496 22.842496 22.842496
890   1  1 22.842496 22.842496 25.697808
891   2  1 22.842496 25.697808  0.000000
892   2  1 22.842496 25.697808  2.855312
893   1  1 22.842496 25.697808  5.710624
898   1  1 22.842496 25.697808 19.987184
899   1  1 22.842496 25.697808 22.842496
900   1  1 22.842496 25.697808 25.697808
901   2  1 25.697808  0.000000  0.000000
902   2  1 25.697808  0.000000  2.855312
903   1  1 25.697808  0.000000  5.710624
904   1  1 25.697808  0.000000  8.565936
908   1  1 25.697808  0.000000 19.987184
909   1  1 25.697808  0.000000 22.842496
910   2  1 25.697808  0.000000 25.697808
911   2  1 25.697808  2.855312  0.000000
912   2  1 25.697808  2.855312  2.855312
913   1  1 25.697808  2.855312  5.710624
914   1  1 25.697808  2.855312  8.565936
918   1  1 25.697808  2.855312 19.987184
919   1  1 25.697808  2.855312 22.842496
920   2  1 25.697808  2.855312 25.697808
921   1  1 25.697808  5.710624  0.000000
922   1  1 25.697808  5.710624  2.855312
923   1  1 25.697808  5.710624  5.710624
930   1  1 25.697808  5.710624 25.697808
