Generated by pymatgen.io.lammps.data.LammpsData

167  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.544579 28.544579 28.617645
2     1  1  0.004745  0.004745  2.863019
3     1  1  0.000452  0.000452  5.711273
8     1  1  0.000348  0.000348 19.984394
9     1  1  0.002706  0.002706 22.797206
10    1  1 27.839745 27.839745 26.411136
11    1  1  0.011172  2.854361  0.003430
12    1  1 28.551999  2.854661  2.854978
19    1  1 28.545571  2.840112 22.857612
20    1  1  0.002662  2.900470 25.695002
21    1  1  0.001418  5.711234  0.000663
30    1  1  0.000315  5.713403 25.697391
71    1  1  0.000115 19.987135 -0.000096
80    1  1  0.000430 19.986604 25.697406
81    1  1  0.002262 22.845705 -0.000620
82    1  1 28.553105 22.848987  2.848822
89    1  1 28.551925 22.842964 22.843216
90    1  1  0.004730 22.834882 25.693121
91    1  1 28.497842 25.784652 28.466312
92    1  1  0.002301 25.698488  2.852126
93    1  1  0.000139 25.697936  5.710685
98    1  1  0.001431 25.697102 19.986545
99    1  1  0.011227 25.694330 22.843375
100   1  1 28.544612 25.633271 25.706318
101   1  1  2.854361  0.011172  0.003430
102   1  1  2.854661 28.551999  2.854978
109   1  1  2.840112 28.545571 22.857612
110   1  1  2.900470  0.002662 25.695002
111   1  1  2.830643  2.830643 28.530822
112   1  1  2.854326  2.854326  2.854558
119   1  1  2.838030  2.838030 22.859700
120   1  1  2.840038  2.840038 25.705180
181   1  1  2.855437 22.843834 28.556027
182   1  1  2.846319 22.851896  2.845929
189   1  1  2.854426 22.843372 22.843369
190   1  1  2.854616 22.842958 25.699024
191   1  1  2.858922 25.697454  0.000386
192   1  1  2.855447 25.694952  2.854017
199   1  1  2.831038 25.719683 22.866729
200   1  1  2.854415 25.694322 25.686570
201   1  1  5.711234  0.001418  0.000663
210   1  1  5.713403  0.000315 25.697391
291   1  1  5.713264 25.696240  0.001625
300   1  1  5.711243 25.697112 25.696360
701   1  1 19.987135  0.000115 -0.000096
710   1  1 19.986604  0.000430 25.697406
791   1  1 19.987532 25.697743  0.000056
800   1  1 19.987134 25.697907 25.697713
801   1  1 22.845705  0.002262 -0.000620
802   1  1 22.848987 28.553105  2.848822
809   1  1 22.842964 28.551925 22.843216
810   1  1 22.834882  0.004730 25.693121
811   1  1 22.843834  2.855437 28.556027
812   1  1 22.851896  2.846319  2.845929
819   1  1 22.843372  2.854426 22.843369
820   1  1 22.842958  2.854616 25.699024
881   1  1 22.849985 22.849985 28.549387
882   1  1 22.850500 22.850500  2.847276
890   1  1 22.848948 22.848948 25.697851
891   1  1 22.843958 25.695778  0.002021
892   1  1 22.850013 25.701562  2.847772
899   1  1 22.843829 25.694919 22.842430
900   1  1 22.845693 25.698432 25.695582
901   1  1 25.784652 28.497842 28.466312
902   1  1 25.698488  0.002301  2.852126
903   1  1 25.697936  0.000139  5.710685
908   1  1 25.697102  0.001431 19.986545
909   1  1 25.694330  0.011227 22.843375
910   1  1 25.633271 28.544612 25.706318
911   1  1 25.697454  2.858922  0.000386
912   1  1 25.694952  2.855447  2.854017
919   1  1 25.719683  2.831038 22.866729
920   1  1 25.694322  2.854415 25.686570
921   1  1 25.696240  5.713264  0.001625
930   1  1 25.697112  5.711243 25.696360
971   1  1 25.697743 19.987532  0.000056
980   1  1 25.697907 19.987134 25.697713
981   1  1 25.695778 22.843958  0.002021
982   1  1 25.701562 22.850013  2.847772
989   1  1 25.694919 22.843829 22.842430
990   1  1 25.698432 22.845693 25.695582
991   1  1 25.742495 25.742495 28.508449
992   1  1 25.695812 25.695812  2.853823
993   1  1 25.697782 25.697782  5.710242
998   1  1 25.696205 25.696205 19.984567
999   1  1 25.697437 25.697437 22.838922
1000  1  1 25.784637 25.784637 25.753112
1001  1  1  1.428465  1.428465  1.430752
1002  1  1  1.429373  1.429373  4.285282
1008  1  1  1.430454  1.430454 21.415521
1009  1  1  1.383889  1.383889 24.313777
1010  1  1  1.341613  1.341613 27.069451
1011  1  1  1.430861  4.282065  1.427565
1019  1  1  1.430415  4.282211 24.267266
1020  1  1  1.427582  4.280299 27.127294
1071  1  1  1.426011 21.417305  1.425911
1079  1  1  1.429346 21.412703 24.268488
1080  1  1  1.428470 21.414596 27.126692
1081  1  1  1.405709 24.295426  1.402417
1082  1  1  1.426023 24.271921  4.280512
1088  1  1  1.430931 24.270166 21.415606
1089  1  1  1.428531 24.267096 24.269279
1090  1  1  1.431571 24.271712 27.136146
1091  1  1  1.431588 27.114839  1.426153
1092  1  1  1.428522 27.124315  4.283292
1098  1  1  1.427741 27.123427 21.417382
1099  1  1  1.341716 27.181316 24.356013
1100  1  1  1.492987 27.134659 27.116209
1101  1  1  4.282065  1.430861  1.427565
1109  1  1  4.282211  1.430415 24.267266
