Generated by pymatgen.io.lammps.data.LammpsData

2001  atoms

   2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     0  1  0.104141  0.104141  0.131340
2     0  2  0.010830  0.010830  2.861580
3     0  1  0.002780  0.002780  5.709873
4     0  1  0.001153  0.001153  8.567645
5     0  1  0.000888  0.000888 11.423584
6     0  1  0.001415  0.001415 14.277850
7     0  1  0.003769  0.003769 17.130076
8     0  1  0.013996  0.013996 19.974881
9     0  1  0.100370  0.100370 22.738134
10    0  1 28.505536 28.505536 25.705212
11    0  1  0.017358  2.858596  0.031069
12    0  1  0.006663  2.867384  2.877345
13    0  1  0.002690  2.851248  5.709842
14    0  1  0.001332  2.855022  8.567862
15    0  1  0.001013  2.856266 11.423230
16    0  1  0.001383  2.857685 14.276898
17    0  1  0.002778  2.861421 17.127771
18    0  1  0.006639  2.872330 19.971580
19    0  1  0.016891  2.866997 22.829150
20    0  1  0.000160  2.851019 25.704715
21    0  1  0.004015  5.710105  0.009926
22    0  1  0.002946  5.715631  2.864395
23    0  1  0.001434  5.713984  5.716895
24    0  1  0.000980  5.711546  8.569075
25    0  1  0.000847  5.711744 11.422953
26    0  1  0.000982  5.713397 14.276518
27    0  1  0.001477  5.716256 17.129074
28    0  1  0.002879  5.715786 19.984736
29    0  1  0.003863  5.711436 22.842984
30    0  1  0.001260  5.708362 25.703308
31    0  1  0.000860  8.565691  0.004709
32    0  1  0.001012  8.567481  2.860012
33    0  1  0.000810  8.568028  5.715273
34    0  1  0.000710  8.567249  8.569546
35    0  1  0.000705  8.566895 11.423322
36    0  1  0.000716  8.567740 14.277487
37    0  1  0.000818  8.568126 17.132774
38    0  1  0.000983  8.566976 19.989162
39    0  1  0.000812  8.565307 22.845612
40    0  1  0.000247  8.564677 25.702016
41    0  1 28.552870 11.421391  0.003292
42    0  1  0.000312 11.421564  2.858674
43    0  1  0.000638 11.421502  5.714265
44    0  1  0.000753 11.421274  8.569419
45    0  1  0.000776 11.421150 11.423844
46    0  1  0.000760 11.421224 14.278535
47    0  1  0.000642 11.421265 17.134237
48    0  1  0.000302 11.421150 19.990324
49    0  1 28.552855 11.421038 22.846052
50    0  1 28.552514 11.421126 25.701292
51    0  1 28.552364 14.276972  0.002947
52    0  1  0.000484 14.275808  2.858951
53    0  1  0.001083 14.274929  5.715020
54    0  1  0.001036 14.275007  8.570034
55    0  1  0.000903 14.275328 11.424051
56    0  1  0.001046 14.274993 14.278220
57    0  1  0.001092 14.274909 17.133577
58    0  1  0.000485 14.275793 19.989955
59    0  1 28.552362 14.276965 22.846104
60    0  1 28.551764 14.277390 25.701099
61    0  1 28.552801 17.131620  0.003518
62    0  1  0.002183 17.128563  2.861447
63    0  1  0.002295 17.127996  5.717530
64    0  1  0.001168 17.129881  8.570603
65    0  1  0.000800 17.130615 11.423852
66    0  1  0.001180 17.129901 14.277363
67    0  1  0.002312 17.128193 17.130980
68    0  1  0.002190 17.128946 19.987567
69    0  1 28.552808 17.131958 22.845844
70    0  1 28.551416 17.133137 25.701306
71    0  1  0.004548 19.982810  0.008037
72    0  1  0.007800 19.978394  2.868881
73    0  1  0.002564 19.983941  5.718411
74    0  1  0.000849 19.986478  8.569996
75    0  1  0.000478 19.986887 11.423353
76    0  1  0.000855 19.985971 14.277065
77    0  1  0.002572 19.983821 17.129656
78    0  1  0.007796 19.978879 19.980333
79    0  1  0.004571 19.983154 22.842330
80    0  1  0.000381 19.987253 25.702093
81    0  1 28.542749 22.855285  0.006507
82    0  1  0.000363 22.842545  2.866599
83    0  1  0.001060 22.843899  5.715593
84    0  1  0.000507 22.844081  8.568284
85    0  1  0.000305 22.843163 11.423005
86    0  1  0.000498 22.842308 14.277400
87    0  1  0.001042 22.841601 17.130324
88    0  1  0.000213 22.842642 19.982783
89    0  1 28.542697 22.853874 22.846578
90    0  1 28.533331 22.864439 25.703604
91    0  1  0.052103 25.671994  0.061595
92    0  1  0.008918 25.698810  2.868665
93    0  1  0.002301 25.708062  5.706621
94    0  1  0.000826 25.700786  8.566891
95    0  1  0.000540 25.698733 11.423275
96    0  1  0.000874 25.698315 14.277970
97    0  1  0.002337 25.698228 17.131074
98    0  1  0.008751 25.695444 19.979676
99    0  1  0.051018 25.663182 22.801072
100   0  1  0.106552 25.708244 25.704894
101   0  1  2.858596  0.017358  0.031069
102   0  1  2.867384  0.006663  2.877345
103   0  1  2.851248  0.002690  5.709842
104   0  1  2.855022  0.001332  8.567862
105   0  1  2.856266  0.001013 11.423230
106   0  1  2.857685  0.001383 14.276898
107   0  1  2.861421  0.002778 17.127771
108   0  1  2.872330  0.006639 19.971580
109   0  1  2.866997  0.016891 22.829150
110   0  1  2.851019  0.000160 25.704715
111   0  1  2.859950  2.859950  0.008733
