Generated by pymatgen.io.lammps.data.LammpsData

167  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     1  1 28.532986 28.532986  0.022914
2     1  1  0.004805  0.004805  2.860229
8     1  1 28.551581 28.551581 19.984723
9     1  1 -0.008958 -0.008958 22.803193
10    1  1 28.057514 28.057514 26.193411
11    1  1  0.009518  2.859054  0.007216
12    1  1 28.552579  2.854680  2.854745
18    1  1 28.552874  2.851186 19.991632
19    1  1 28.552091  2.833605 22.864200
20    1  1 -0.008958  2.894612 25.706762
21    1  1  0.001100  5.712800  0.002259
29    1  1 28.552874  5.706173 22.846618
30    1  1 28.551581  5.713081 25.699343
81    1  1  0.002914 22.848528 28.550007
82    1  1 -0.000178 22.850534  2.847270
89    1  1 28.552579 22.843060 22.843124
90    1  1  0.004805 22.837576 25.693000
91    1  1 28.500200 25.792507 28.458417
92    1  1  0.002914 25.700917  2.849277
98    1  1  0.001100 25.695546 19.985004
99    1  1  0.009518 25.690589 22.838750
100   1  1 28.532986 25.674890 25.717938
101   1  1  2.859054  0.009518  0.007216
102   1  1  2.854680 28.552579  2.854745
108   1  1  2.851186 28.552874 19.991632
109   1  1  2.833605 28.552091 22.864200
110   1  1  2.894612 -0.008958 25.706762
111   1  1  2.836276  2.836276 28.538930
112   1  1  2.852469  2.852469  2.853665
119   1  1  2.821374  2.821374 22.876430
120   1  1  2.833605  2.833605 25.698834
121   1  1  2.854392  5.708818 28.552328
130   1  1  2.851186  5.706173 25.698051
181   1  1  2.855152 22.844463  0.002109
189   1  1  2.852469 22.844139 22.845335
190   1  1  2.854680 22.843060 25.698346
191   1  1  2.864948 25.691140  0.006665
192   1  1  2.855152 25.695695  2.853341
198   1  1  2.854392 25.698597 19.988987
199   1  1  2.836276 25.711995 22.861528
200   1  1  2.859054 25.690589 25.688287
201   1  1  5.712800  0.001100  0.002259
209   1  1  5.706173 28.552874 22.846618
210   1  1  5.713081 28.551581 25.699343
211   1  1  5.708818  2.854392 28.552328
220   1  1  5.706173  2.851186 25.698051
291   1  1  5.715742 25.694067  0.003737
299   1  1  5.708818 25.698597 22.843412
300   1  1  5.712800 25.695546 25.696705
801   1  1 22.848528  0.002914 28.550007
802   1  1 22.850534 -0.000178  2.847270
809   1  1 22.843060 28.552579 22.843124
810   1  1 22.837576  0.004805 25.693000
811   1  1 22.844463  2.855152  0.002109
819   1  1 22.844139  2.852469 22.845335
820   1  1 22.843060  2.854680 25.698346
881   1  1 22.852841 22.852841 28.547325
890   1  1 22.850534 22.850534 25.697982
891   1  1 22.848098 25.699288 -0.001483
892   1  1 22.852841 25.703600  2.844963
899   1  1 22.844463 25.695695 22.842652
900   1  1 22.848528 25.700917 25.694890
901   1  1 25.792507 28.500200 28.458417
902   1  1 25.700917  0.002914  2.849277
908   1  1 25.695546  0.001100 19.985004
909   1  1 25.690589  0.009518 22.838750
910   1  1 25.674890 28.532986 25.717938
911   1  1 25.691140  2.864948  0.006665
912   1  1 25.695695  2.855152  2.853341
918   1  1 25.698597  2.854392 19.988987
919   1  1 25.711995  2.836276 22.861528
920   1  1 25.690589  2.859054 25.688287
921   1  1 25.694067  5.715742  0.003737
929   1  1 25.698597  5.708818 22.843412
930   1  1 25.695546  5.712800 25.696705
981   1  1 25.699288 22.848098 -0.001483
982   1  1 25.703600 22.852841  2.844963
989   1  1 25.695695 22.844463 22.842652
990   1  1 25.700917 22.848528 25.694890
991   1  1 25.751518 25.751518 28.499407
992   1  1 25.699288 25.699288  2.849707
998   1  1 25.694067 25.694067 19.982063
999   1  1 25.691140 25.691140 22.832856
1000  1  1 25.792507 25.792507 25.750725
1001  1  1  1.422070  1.422070  1.425228
1002  1  1  1.429074  1.429074  4.284940
1008  1  1  1.422686  1.422686 21.425651
1009  1  1  1.318910  1.318910 24.378894
1010  1  1  1.370086  1.370086 27.091910
1011  1  1  1.430595  4.283347  1.429277
1018  1  1  1.423899  4.272597 21.425208
1019  1  1  1.422686  4.272154 24.275118
1020  1  1  1.427617  4.281868 27.128905
1071  1  1  1.425830 21.418285  1.424778
1079  1  1  1.429074 21.412864 24.268730
1080  1  1  1.428703 21.415179 27.125789
1081  1  1  1.404733 24.296634  1.401170
1082  1  1  1.425830 24.273026  4.279519
1088  1  1  1.430595 24.268527 21.414458
1089  1  1  1.422070 24.272576 24.275734
1090  1  1  1.430177 24.274193 27.131889
1091  1  1  1.430177 27.119036  1.423611
1092  1  1  1.428703 27.125135  4.282626
1098  1  1  1.427617 27.122020 21.415936
1099  1  1  1.370086 27.159014 24.327718
1100  1  1  1.511195 27.120465 27.130460
1101  1  1  4.283347  1.430595  1.429277
1108  1  1  4.272597  1.423899 21.425208
1109  1  1  4.272154  1.422686 24.275118
1110  1  1  4.281868  1.427617 27.128905
